Tue Dec  3 16:56:12 2024    output.prof

         331634 function calls (331610 primitive calls) in 21.284 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11186   19.993    0.002   19.993    0.002 {built-in method time.sleep}
        1    1.033    1.033    1.034    1.034 {built-in method pygame.base.init}
    11185    0.109    0.000    0.109    0.000 {built-in method pygame.event.get}
    11179    0.020    0.000    0.059    0.000 /usr/lib/python3.11/queue.py:122(put)
    11179    0.009    0.000    0.031    0.000 /home/jski306/Documents/git/Crazyflie-Controller/POC_yaw_testing.py:277(get_pos)
    11179    0.010    0.000    0.025    0.000 /usr/lib/python3.11/threading.py:366(notify)
    11182    0.023    0.000    0.023    0.000 {built-in method numpy.array}
    33534    0.010    0.000    0.010    0.000 {built-in method time.time}
    22354    0.010    0.000    0.010    0.000 {built-in method builtins.min}
    11179    0.009    0.000    0.009    0.000 /home/jski306/Documents/git/Crazyflie-Controller/vicon_connection_class.py:125(getPos)
     8963    0.009    0.000    0.009    0.000 {method 'release' of '_thread.lock' objects}
    11177    0.004    0.000    0.008    0.000 <string>:1(<lambda>)
    22359    0.007    0.000    0.007    0.000 {built-in method builtins.max}
    11180    0.004    0.000    0.007    0.000 /usr/lib/python3.11/threading.py:271(__enter__)
    11177    0.006    0.000    0.006    0.000 /home/jski306/Documents/git/Crazyflie-Controller/vicon_connection_class.py:131(getVel)
    33531    0.005    0.000    0.005    0.000 {built-in method math.degrees}
    11179    0.004    0.000    0.005    0.000 /usr/lib/python3.11/queue.py:213(_put)
    11180    0.003    0.000    0.005    0.000 /usr/lib/python3.11/threading.py:286(_is_owned)
    11180    0.003    0.000    0.003    0.000 /usr/lib/python3.11/threading.py:274(__exit__)
    11179    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0xa7a840}
    11180    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
    11183    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
    11180    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1165(_find_and_load)
     8962    0.001    0.000    0.001    0.000 {method 'remove' of 'collections.deque' objects}
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
       11    0.000    0.000    0.001    0.000 {built-in method builtins.print}
    11184    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:666(_load_unlocked)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/traceback.py:182(format_exc)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/traceback.py:128(format_exception)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:713(__init__)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:561(array2string)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:394(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:523(_array2string)
      5/2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/pygame/freetype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:313(line)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/linecache.py:26(getline)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/linecache.py:36(getlines)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/linecache.py:80(updatecache)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:945(start)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:411(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:907(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:611(wait)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:916(format)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:295(wait)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:934(fillFormat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
