Wed Jan 15 15:48:04 2025    output.prof

         125 function calls in 4.905 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    4.805    2.402 /usr/lib/python3.11/queue.py:154(get)
        2    0.000    0.000    4.805    2.402 /usr/lib/python3.11/threading.py:295(wait)
       14    4.805    0.343    4.805    0.343 {method 'acquire' of '_thread.lock' objects}
        1    0.100    0.100    0.100    0.100 {built-in method time.sleep}
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crazyflie/high_level_commander.py:253(_send_packet)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crazyflie/high_level_commander.py:126(stop)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crazyflie/__init__.py:318(send_packet)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crazyflie/high_level_commander.py:76(takeoff)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/radiodriver.py:363(send_packet)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:122(put)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/crtpstack.py:120(_set_data)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:366(notify)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:209(_qsize)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:286(_is_owned)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:217(_get)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/crtpstack.py:90(_set_port)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/crtpstack.py:152(is_data_size_valid)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:283(_acquire_restore)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:274(__exit__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:271(__enter__)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/crtpstack.py:63(__init__)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/crtpstack.py:149(available_data_size)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/crtpstack.py:108(_update_header)
        2    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:280(_release_save)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:213(_put)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/utils/callbacks.py:50(call)
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/crtpstack.py:146(get_data_size)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        4    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/src/cflib/cflib/crtp/crtpstack.py:77(_get_channel)
        2    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


